Location name,Region,Page,Pleiades ID (pleiades.stoa.org/ ),y/lat,x/lng,Number of buildings,Decription,Date - text,Date - precise,Date - post quem,Date - ante quem,Ceased to exist,Cited,Other literature in text,Notes,Coded by,Notes 2
"včetně varianty v závorce, dodržet diakritiku!",nadpis podkapitoly,Strana v knize,"Když neexistuje, nebo není jednoznačné, tak ""-""",s desetinou tečkou,,"""-"" pro nedefinované množství",Stručný popis objektu v textu,"datum ve formě uvedené v textu Když neexistuje, tak ""-""",,dobrovolné položky (celé čísla),,,uvést kompletně zdroje (v závorce),,,vaše jméno,
A'in el Ksar,North Africa,126,-,-,-,1,chapel,4th c.,,301,400,,"Y. Duval 1982, 1.346",-,,Kneblová,
A'in Ghorab,North Africa,126,-,-,-,1,a martyr church,4th or early 5th c.,,301,424,,"Leschi 1957,307-10; Y. Duval 1982, 149f",,,Kneblová,
Albano,Italy with Sardinia and Corsica,132,-,-,-,1,a Constantinian basilica,-,,,,,"C. and L. Pietri 1990, 137",,,Jana,
Anz (Syria),The Eastern Empire,119,-,-,-,1,oriented rural church ,dating to the 1 st half of the 4th c.,,301,350,,"Nussbaum 1965, 1.34",,,Průšová,
Apamea,The Eastern Empire,119,-,-,-,1,a church built out of a ruined Zeus temple,-,,-,-,,"Theodoret, HE 5.21.7, in Deichmann 1939, 115",,,Průšová,
Aphrodisias in Cilicia,The Eastern Empire,119,-,-,-,1,"a basilica with side aisles and there are several burials within the church (25-28, 33) indicating that it lay in a cemetery (but unexcavated)",built in about the 360s,,360,369,,"Budde 1987,34 and fold-out plan",,,Průšová,
"Ba'udeh (Ba'uda, Syria)",The Eastern Empire,119,-,-,-,1,small church,datable to 392,392,,,,"Butler 1929, 39; Sodini et al. 1989, 349",,,Průšová,
Babisqa,The Eastern Empire,119,-,-,-,1,church,late 4th c.,,375,400,,"Lassus 1947,. 188, 263; Sodini et al. 1989,349",,,Průšová,
Batuta (Syria),The Eastern Empire,119,-,-,-,1,a church,of mid-4th c.,,325,374,,"Sodini et al. 1989, 348",,,Průšová,
Benevento,Italy with Sardinia and Corsica,133,-,-,-,1,a diocese therefore a cathedral?,303,303,,,,"Testini et al.1989, 19",,,Jana,
Bosra (Syria),The Eastern Empire,119,-,-,-,1,a civilian basilica turned into a church,undated,,-,-,,"Butler 1929, 14 and ill. 5",,,Průšová,
Bou Ismail (Castiglione) in Mauretania Caesariensis,North Africa,127,-,36.6429011,2.6956358,1,church with side aisles,a 4th c.,,301,400,,"Gui et al. 1992, 1.44ff",,lat and long nalezeno na mapy.cz,Kneblová,
