X,Y,label,Type of Ar,centuries,deities
26.934551,39.504028,Adramyttium - 301/1100,Coin,"(2:2 BCE,1 BCE)",(1:Isis)
25.998408,36.90637,Aigiale - 202/1601,Dedication,(1:2 BCE),"(3:Sarapis,Isis,Anubis)"
25.998408,36.90637,Aigiale - 202/1602,Statue,"(2:2 BCE,1 BCE)",(1:Sarapis)
25.998408,36.90637,Aigiale - 202/1603,Dedication,(1:2 BCE),(1:Isis)
22.081952,38.252707,Aigion - 102/0301,Inscription,"(2:3 BCE,2 BCE)",(1:Isis)
20.989927,39.154973,Ambracia - 111/0101,Inscription,(1:3 BCE),"(2:Isis,Harpocrates)"
23.847445,40.820354,Amphipolis - 113/0901,Funerary stele,"(2:4 BCE,3 BCE)",(1:Isis)
23.847445,40.820354,Amphipolis - 113/0902,Inscription,(1:3 BCE),"(2:Sarapis,Isis)"
36.165318,36.200663,Antiochia ad Orontem,Literary,(1:3 BCE),(1:Isis)
36.165318,36.200663,Antiochia ad Orontem - 402/0100,Coin,(1:3 BCE),(1:Isis)
22.719464,37.631561,Argos - 102/0801,Inscription,"(6:3 BCE,2 BCE,1 BCE,1 CE,2 CE,3 CE)",(0:)
23.3696045,37.5839485,Arsinoe-Methana -102/0502,Dedication,(1:2 BCE),"(2:Sarapis,Isis)"
31.171507,36.9392952,Aspendos - 314/0601,Inscription,(1:3 BCE),(1:Sarapis)
26.35142,36.547366,Astypalaia - 202/1301,Inscription,"(2:3 BCE,2 BCE)","(2:Sarapis,Isis)"
23.7239852,37.9727465,Athenae - 101/0201,Inscription,(1:3 BCE),(1:Sarapis)
23.7239852,37.9727465,Athenae - 101/0210,Relief,"(2:2 BCE,1 BCE)",(1:Isis)
27.589505,37.195835,Bargylia - 305/1501,Inscription,(1:3 BCE),"(3:Isis,Sarapis,Anubis)"
27.921195,36.336185,Camirus/Kamiros - 204/0218,Dedication,"(2:2 BCE,1 BCE)",(1:Sarapis)
28.621536,36.825909,Caunus - 305/2001,Coin,(1:2 BCE),(1:Isis)
27.9562175,37.041728,Ceramus/Keramos - 305/1801,Inscription,"(2:3 BCE,2 BCE)",(1:Sarapis)
23.621937,38.457139,Chalcis - 104/0201,Dedication,(1:2 BCE),"(4:Sarapis,Isis,Anubis,Apis)"
23.621937,38.457139,Chalcis - 104/0202,Dedication,(1:2 BCE),"(3:Sarapis,Isis,Anubis)"
23.621937,38.457139,Chalcis - 104/0203,Dedication,"(2:2 BCE,1 BCE)","(3:Sarapis,Isis,Anubis)"
27.5999625,36.2276155,Chalke/Chalce - 204/0501,Dedication,"(2:2 BCE,1 BCE)","(2:Sarapis,Isis)"
33.4922867,44.6109122,Chersonesos - 115/0301,Inscription,(1:3 BCE),(1:Isis)
25.388567,35.319165,Chersonesus (Crete),Statue,(1:2 BCE),(1:Isis)
25.388567,35.319165,Chersonesus (Crete) - 203/0101,Dedication,(1:2 BCE),(1:Sarapis)
