X,Y,n,date
34.8941,32.4991,Caesarea,66
36.6182,32.75421,Cana,100
36.6182,32.75421,Cana,200
35.575,32.88111,Capernaum,74
35.575,32.88111,Capernaum,90
35.575,32.88111,Capernaum,90
35.575,32.88111,Capernaum,100
35.575,32.88111,Capernaum,100
35.56699,32.90798,Chorazin,200
35.74056,32.90278,Gamla,0
35.24171,31.66583,Herodion,0
34.97201,31.64947,Horvat Etri,125
35.16655,30.25241,Idumea,94
35.16655,30.25241,Idumea,0
35.44388,31.87007,Jericho,100
35.23416,31.77668,Jerusalem,100
35.23416,31.77668,Jerusalem,100
35.23416,31.77668,Jerusalem,110
35.23416,31.77668,Jerusalem,110
35.23416,31.77668,Jerusalem,110
35.23416,31.77668,Jerusalem,87
35.23416,31.77668,Jerusalem,87
35.23416,31.77668,Jerusalem,204
35.23416,31.77668,Jerusalem,204
35.23416,31.77668,Jerusalem,204
35.23416,31.77668,Jerusalem,70
35.52058,32.81449,Magdala,100
35.34561,31.32674,Masada,100
35.00015,31.9302,Modi'in,0
35.51674,32.99189,Nabratein (Nevoraya),174
35.30015,32.70102,Nazareth,74
35.30015,32.70103,Nazareth,90
35.30015,32.70104,Nazareth,90
35.04166,31.93055,Qiryat Sefer,25
35.45939,31.74177,Qumran,-96
35.4594,31.74178,Qumran,-96
35.45941,31.74179,Qumran,-25
35.45942,31.7418,Qumran,80
35.45943,31.74181,Qumran,-30
35.45944,31.74182,Qumran,-1
35.23434,31.81389,Shuafat,-75
35.54201,32.77545,Tiberias,97
35.54202,32.77546,Tiberias,204
23.71954,37.97079,Athens,110
27.29833,37.66,Priene,300
23.43014,37.74094,Aegina,200
22.87919,37.90603,Corinth,110
22.87919,37.90603,Corinth,110
25.26819,37.39727,Delos,100
25.26819,37.39727,Delos,200
25.26819,37.39727,Delos,200
25.26819,37.39727,Delos,100
25.26819,37.39727,Delos,100
25.26819,37.39727,Delos,200
25.26819,37.39727,Delos,-1
25.26819,37.39727,Delos,-175
25.26819,37.39727,Delos,-50
25.26819,37.39727,Delos,200
29.775,38.65875,Acmonia,100
27.34089,37.93958,Ephesos,45
27.34089,37.93958,Ephesos,110
27.34089,37.93958,Ephesos,110
27.34089,37.93958,Ephesos,110
27.34089,37.93958,Ephesos,-43
27.34089,37.93958,Ephesos,-76
27.27749,37.52924,Miletus,
28.51667,38.35,Philadelphia,95
28.04029,38.48831,Sardis,-101
28.04029,38.48831,Sardis,-49
27.1383,38.41905,Smyrna,95
30.54606,38.53251,Synnada,200
27.84924,38.89852,Thyatira,125
37.30981,44.89597,Gorgippia,41
37.30981,44.89597,Gorgippia,200
29.92349,40.76445,Olbia,225
36.46861,45.35083,Panticapaeum,81
36.46861,45.35083,Panticapaeum,125
36.46861,45.35083,Panticapaeum,100
36.46861,45.35083,Panticapaeum,200
36.96611,45.27694,Phanagoria,17
36.96611,45.27694,Phanagoria,52
33.90252,35.1848,Salamis,110
20.06425,32.12452,Berenice,-6
20.06425,32.12452,Berenice,24
20.06425,32.12452,Berenice,55
21.85727,32.82304,Cyrene,100
29.90977,31.20144,Alexandria,-50
29.90977,31.20144,Alexandria,-50
29.90977,31.20144,Alexandria,-50
29.90977,31.20144,Alexandria,41
29.90977,31.20144,Alexandria,41
29.90977,31.20144,Alexandria,45
29.90977,31.20144,Alexandria,45
29.90977,31.20144,Alexandria,45
29.90977,31.20144,Alexandria,-101
29.90977,31.20144,Alexandria,-37
29.90977,31.20144,Alexandria,3
29.90977,31.20144,Alexandria,100
30.84408,29.30905,Arsinoë-Crocodilopolis,200
30.84408,29.30905,Arsinoë-Crocodilopolis,113
30.84408,29.30905,Arsinoë-Crocodilopolis,-221
31.18402,30.46897,Athribis,-1
31.18402,30.46897,Athribis,-1
31.35,30.68333,Leontopolis,-101
31.35,30.68333,Leontopolis,174
30.59178,30.90071,"Naucratis
",14
30.38614,30.92651,Nitriai,-116
30.19203,31.13965,Schedia,-221
32.5161,37.84705,Iconium,110
31.18917,38.30611,Pisidian Antioch,110
18.67575,45.56002,Osijek (Mursa),210
12.28766,41.75485,Ostia,200
12.28766,41.75485,Ostia,200
12.28766,41.75485,Ostia,200
12.28766,41.75485,Ostia,100
12.48614,41.89178,Rome,-1
12.48614,41.89178,Rome,130
12.48614,41.89178,Rome,45
12.48614,41.89178,Rome,200
22.20499,40.52453,Beroea,110
24.2803,41.01695,Philippi,110
22.94957,40.63028,Thessalonica,110
21.97772,41.53139,Stobi,250
21.97772,41.53139,Stobi,250
40.73,34.747,Dura Europos,200
37.06723,41.21506,Antioch,-101
36.3091,33.51161,Damascus,110
36.3091,33.51161,Damascus,110
34.91691,32.61759,Dora (Dor),41
