X,Y,timeperiod,timeperi_1,n
-2.9852,51.3574,I,iron-age-britain,Worlebury Camp
-3.4565,51.1832,I,iron-age-britain,Grabbist hill-fort
-3.4542,51.1743,I,iron-age-britain,Black Ball Camp
-1.1821,59.9953,I,iron-age-britain,Broch of Mousa
55.0337,37.2407,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.6591,37.1648,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.615,37.1185,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.7501,37.2103,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.6924,37.1982,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.8498,37.2338,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.8156,37.2288,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.9231,37.2367,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.8968,37.2352,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.9822,37.2409,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.9552,37.2388,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.2323,37.1384,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.2508,37.1377,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.3241,37.1327,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.4252,37.1099,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.4569,37.1071,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.4925,37.1021,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.5146,37.0964,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.5459,37.0978,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
54.181,37.1334,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
55.1609,37.2568,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
55.1011,37.2445,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
55.1144,37.2473,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
55.2917,37.3511,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
55.3133,37.3713,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
55.2095,37.2789,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
55.2474,37.3182,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
55.5095,37.484,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
55.4424,37.4562,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
55.3981,37.4258,HRL,"hellenistic-republican,roman,late-antique",Fort at Great Wall of Gorgan
24.7259,41.1817,HR,"hellenistic-republican,roman",Tower in R. Nestos Valley
24.7185,41.1652,HR,"hellenistic-republican,roman",Tower in R. Nestos Valley
24.729,41.2306,HR,"hellenistic-republican,roman",Tower in R. Nestos Valley
24.6305,41.2652,HR,"hellenistic-republican,roman",Tower in R. Nestos Valley
