X,Y,n,c
12.49717,41.88949,San Clemente,definitive
12.49842,41.89493,Via Giovanni Lanza,definitive
12.48945,41.90279,Palazzo Barberini,definitive
12.47164,41.89678,San Lorenzo,definitive
12.48286,41.88811,Palazzo dei Musei / Circus Maximus,definitive
12.49025,41.88078,Terme di Caracalla,definitive
12.48413,41.88329,Santa Prisca,definitive
12.50253,41.88629,San Giovanni / Ospedale di San Giovanni,definitive
12.49679,41.8848,San Stefano Rotondo / Castra Peregrinorum,definitive
12.47936,41.89428,Crypta Balbi,definitive
12.51266,41.89128,Via Passalacqua,definitive
12.28869,41.75515,Casa di Diana,definitive
12.28874,41.75549,Lucrezio Menandro,definitive
12.2878,41.75317,Fructosus,definitive
12.28526,41.75423,Terme di Mitra,definitive
12.2951,41.75831,Aldobrandini,definitive
12.29541,41.75739,Porta Romana,definitive
12.2905,41.75579,Sette Sfere,definitive
12.28141,41.75361,Palazzo Imperiale,definitive
12.28634,41.75322,Pareti Dipinte,definitive
12.28417,41.75295,Planta Pedis,definitive
12.28417,41.75295,Animali,definitive
12.28741,41.75252,Sette Porte,definitive
12.29043,41.75468,Serpenti,definitive
12.29149,41.75446,Felicissimus,definitive
12.28017,41.75332,Fagan,definitive
11.63025,42.41946,Vulci,definitive
14.25211,41.08048,Capua,definitive
12.65524,41.76936,Marino,definitive
14.26027,40.85118,Neapolis,definitive
12.95594,40.90385,Pontia / Ponza,definitive
15.29165,37.0729,Siracusa,definitive
12.7403,42.74613,Spoletium,definitive
7.3146,45.73746,Augusta Praetoria,definitive
13.54451,41.26368,Itri,definitive
13.59785,45.78421,San Giovanni al Duino,definitive
-7.55882,43.00912,Lugo,definitive
1.38633,41.13598,Els Munts,definitive
-6.3423,38.91233,Mérida II,definitive
-0.09167,51.51267,Walbrook,definitive
-1.82894,55.00154,Rudchester,definitive
-2.22256,55.03385,Carrawburgh,definitive
-2.32897,55.01026,Housesteads,definitive
-4.26181,53.1368,Caenarfon,definitive
4.64148,44.36973,Bourg Saint Andéol,definitive
5.68285,45.8976,Vieu,definitive
6.92011,43.52711,Mandelieu-la-Napoule,definitive
-0.57377,44.83478,Bordeaux,definitive
6.64188,49.74741,Trier,definitive
6.55182,49.60809,Saarburg,definitive
4.95912,47.12385,Les Bolards,definitive
-0.56062,47.46602,Angers,definitive
1.6713,48.89778,Septeuil,definitive
4.94358,50.82693,Tienen,definitive
7.07066,46.09604,Martigny,definitive
6.94778,50.9388,Köln I,definitive
6.95823,50.94087,Köln II,definitive
6.83287,51.09587,Dormagen,definitive
6.67049,51.32953,Krefeld-Gellep,definitive
6.95568,50.78976,Bornheim-Sechtem,definitive
8.23127,50.08953,Wiesbaden,definitive
7.54517,48.04057,Biesheim,definitive
8.84691,49.90189,Dieburg,definitive
8.15728,49.37394,Gimmeldingen,definitive
8.98032,50.08048,Großkrotzenburg I,definitive
8.69352,49.41378,Neuenheim in Heidelberg,definitive
7.71431,48.578,Königshoffen,definitive
7.18301,48.91858,Mackwiller,definitive
9.21061,49.00887,Mundelsheim,definitive
8.63018,50.15544,Heddernheim I,definitive
8.63774,50.15411,Heddernheim II,definitive
8.63749,50.15285,Heddernheim III,definitive
8.63141,50.15125,Heddernheim IV,definitive
8.87594,50.32598,Ober-Florstadt,definitive
7.74652,48.14998,Riegel,definitive
7.80612,49.62907,Rockenhousen,definitive
7.28264,49.53713,Schwarzerden,definitive
9.07188,49.97689,Stockstadt I,definitive
9.06744,49.97934,Stockstadt II,definitive
8.75721,50.3375,Friedberg,definitive
8.47557,49.90205,Groß-Gerau,definitive
8.61169,49.46743,Ladenburg I,definitive
8.61152,49.46777,Ladenburg II,definitive
9.00464,49.06262,Güglingen I,definitive
9.00553,49.06157,Güglingen II,definitive
8.2698,49.99748,Mainz,definitive
6.53461,46.74597,Orbe-Boscéaz,definitive
8.66828,49.29099,Wiesloch,definitive
7.2452,49.17987,Heidelberg,definitive
10.8746,48.274,Königsbrunn,definitive
13.08476,48.66839,Künzing,definitive
13.70809,47.10186,Moosham,definitive
14.2839,48.30482,Linz,definitive
12.1437,47.89241,Pfaffenhoffen am Inn,definitive
14.03806,47.99556,Schachadorf,definitive
14.82223,46.7712,St. Urban,definitive
15.56629,45.98967,Zgornja Pohanca,definitive
15.30077,44.86416,Prozor I,definitive
15.29269,44.83634,Prozor II,definitive
17.26599,44.34074,Jajce,definitive
18.23628,42.57963,Juraj,definitive
18.24788,42.56173,Močići,definitive
17.96496,43.66006,Konjic,definitive
18.19614,47.72103,Komárom-Szöny,definitive
16.90439,48.13949,Carnuntum I,definitive
16.86246,48.11714,Carnuntum III,definitive
16.65674,47.74142,Fertörákos,definitive
15.84246,46.41208,Ptuj I,definitive
15.84256,46.41196,Ptuj II,definitive
15.85469,46.41784,Ptuj III,definitive
15.865,46.42045,Ptuj IV,probable
15.87119,46.42776,Ptuj V,definitive
15.15903,45.60492,Rožanec,definitive
16.67551,48.0417,Stix-Neusiedel,definitive
16.6219,47.23511,Szombathely,definitive
19.05787,47.56482,Aquincum I,definitive
19.05024,47.5638,Aquincum II,definitive
19.04986,47.56246,Aquincum IV,definitive
19.03929,47.54082,Aquincum V,definitive
18.97099,47.39594,Nagytétény,definitive
18.28397,47.16054,Sárkezsi,definitive
23.57719,46.06508,Alba Iulia I,definitive
23.56497,46.0664,Alba Iulia III,definitive
23.31002,45.62221,Gradiştea de Munte,definitive
24.52296,44.09041,Slăveni,definitive
21.74026,42.09868,Biljanovce,definitive
21.30847,44.31713,Ilinjača,definitive
20.45471,44.82091,Beograd,definitive
