Details,subtype,ancient-find-spot,modern-find-sport,province-or-italic-region,modern-country,DARE-no.,GPSX,GPSY,relevance
Ach-Place-001 Andros,town,Andros,"Palaiopolis, Andros",Achaia,Greece,39550,24.82693,37.81579,4
Ach-Place-002 Athenai,city,"Athenae, Athenai","AthĂ­na, Athens",Achaia,Greece,10975,23.72646,37.97169,2
Ach-Place-003 Eleusis,city,Eleusis,Elefsina,Achaia,Greece,21987,23.53772,38.04098,0
Ach-Place-004 Patrae,city,"Patrae, Patra",Patras,Achaia,Greece,21942,21.73852,38.24327,2
Aeg-Place-001 Alexandria,city,Alexandria,Alexandria,Aegyptus,Egypt,15898,29.90413,31.19537,4
Aeg-Place-002 Memphis,city,Memphis,Mit Rahina,Aegyptus,Egypt,21137,31.25428,29.84967,4
Aeg-Place-003 Oxyrhynchus,city,"Oxyrhynchus, Oxyrynchopolis, Iustinopolis, Nea Ioustinou Polis, Pemje",El Bahnasa,Aegyptus,Egypt,22142,30.65172,28.54257,1
AfrPro-Place-001 Carthago,city,Carthago,Carthago,Africa Proconsularis,Tunisia,15897,10.32306,36.85306,1
AfrPro-Place-002 Leptis Magna,city,"Lepcis Magna, Neapolis","Leptis Magna, Khoms",Africa Proconsularis,Libya,21127,14.29056,32.63917,2
AfrPro-Place-003 Sabratha,city,"Sabratha, Abrotonum",Sabratha,Africa Proconsularis,Lybia,21128,12.48364,32.80471,1
AfrPro-Place-004 Tiddis,town,"Tiddis, Castellum Tidditanorum",Tiddis,Africa Proconsularis,Algeria,22630,6.48321,36.46273,2
AfrPro-Place-005 Cirta,city,"Cirta, Constantina",Constantine,Africa Proconsularis,Algeria,21642,6.61256,36.36819,4
AfrPro-Place-006 Diana Veteranorum,city,Diana Veteranorum,AĂŻn Zana,Africa Proconsularis,Algeria,22111,6.0803,35.77969,1
AfrPro-Place-007 Lambaesis,fortress,Lambaesis,"LambĂ¨se, Tazoult",Africa Proconsularis,Algeria,21644,6.25472,35.49011,5
AfrPro-Place-008 Mascula,city,Mascula Tiberia,Khenchela,Africa Proconsularis,Algeria,22110,7.15003,35.43334,1
AfrPro-Place-009 Rusicade,city,"Rusicade, Thapsus","Skikda,",Africa Proconsularis,Algeria,21627,6.90496,36.87964,4
AfrPro-Place-010 Sidi Okba,,,Sidi Okba,Africa Proconsularis,Algeria,,5.904163,34.75175,4
AfrPro-Place-011 Thamugadi,city,Thamugadi,Timgad,Africa Proconsularis,Algeria,21651,6.46864,35.48517,1
Aqu-Place-001 Burdigala,city,Burdigala,Bordeaux,Aquitania,France,147,-0.57918,44.83779,4
Aqu-Place-002 Elusa,civitas,Elusa,Eauze,Aquitania,France,401,0.1032,43.8611,2
Aqu-Place-003 Lezoux,town,,Lezoux,Aquitania,France,12333,3.37804,45.82699,2
Aqu-Place-004 St. Aubin,villa,,Saint Aubin,Aquitania,France,19413,0.3754,48.49761,1
As-Place-001 Colophon,city,Colophon,DeÄźirmendere,Asia,Turkey,21170,27.14222,38.11556,1
Bae-Place-001 Igabrum,city,Igabrum,Cabra,Baetica,Spain,16844,-4.44755,37.47115,1
Bae-Place-002 Italica,city,Italica,Santiponce,Baetica,Spain,16834,-6.04344,37.44141,1
Bae-Place-003 Malaca,city,Malaca,MĂˇlaga,Baetica,Spain,16832,-4.42002,36.71965,2
Bae-Place-004 Munda,town,Munda,Cerro de las Camorras,Baetica,Spain,31292,-5.19621,37.37622,1
Bae-Place-005 Carmo,town,Carmo,Carmona,Baetica,Spain,22229,-5.63322,37.47267,0
Bel-Place-001 Augusta Treverorum,city,Augusta Treverorum,Trier,Belgica,Germany,2,6.64376,49.75623,4
Bel-Place-002 Champlieu,temple,,Champlieu,Belgica,France,13002,2.85374,49.30994,1
Bel-Place-003 Donobriga,,Donobriga,Deneuvre,Belgica,France,,6.7372,48.4442,1
Bel-Place-004 Pons Saravi,town,Pons Saravi,"Sarrebourg, Saarburg",Belgica,France,2008,7.05148,48.7348,4
Bel-Place-005 SaarbrĂĽcken,town,,SaarbrĂĽcken,Belgica,Germany,1980,7.02418,49.22383,2
Bel-Place-006 St. Wendel,,,St. Wendel,Belgica,Germany,,7.163959,49.469502,1
Bel-Place-007 Geminiacum,town,Geminiacum?,"Les Bons Villers, Liberchies",Belgica,Belgium,2067,4.44349,50.51455,1
Bri-Place-001 Alauna,fort,"Alauna, Alione",Maryport,Britannia,Great Britain,23702,-3.49391,54.72089,0
Bri-Place-002 Bremenium,fort,Bremenium,High Rochester,Britannia,Great Britain,22985,-2.26602,55.28124,4
Bri-Place-003 Brocolitia,fort,Brocolitia,Carrawburgh,Britannia,Great Britain,23091,-2.22254,55.03385,4
Bri-Place-004 Camulodunum,city,Camulodunum,Colchester,Britannia,Great Britain,20678,0.90068,51.89083,0
